[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000135264 337184 8.36376 3.18143
0.000128497 341076 8.23074 2.3652
0.000119792 407507 8.7812 2.68938
0.000126462 428870 9.40668 4.74502
8.84469e-05 417859 9.07102 4.44234
0.000101422 427153 9.06445 4.33488
0.000104212 415491 9.10922 4.62414
0.000112298 413519 8.32824 3.55872
9.38495e-05 439219 8.49503 3.85112
0.000103474 429544 8.37231 3.99132
0.000100412 427579 8.31942 3.08275
8.34184e-05 463880 8.71486 3.0786
0.000109271 442852 8.83937 3.25984
9.56178e-05 433606 8.47548 2.9762
9.42747e-05 440033 8.67271 3.18807
0.000122178 413943 9.19911 4.22698
0.000110456 444792 8.87238 3.33439
0.000109639 433737 8.88294 3.76385
0.000100935 433661 8.4995 3.50901
9.51231e-05 459541 8.50296 3.6576
8.83681e-05 469240 8.11783 3.66566
8.75012e-05 463145 8.47022 4.3003
9.61605e-05 468909 8.57721 4.29618
9.23439e-05 471439 8.87282 3.68415
8.46854e-05 482093 8.09894 2.84069
7.25757e-05 492197 7.962 3.38442
7.75873e-05 489459 8.26792 3.22973
8.19495e-05 492401 8.44024 2.97054
9.07281e-05 496574 8.67827 3.19907
8.69795e-05 514707 8.71201 3.37991
8.24415e-05 497648 8.44791 2.58342
8.49368e-05 506050 8.94972 3.64569
0.000101343 500214 8.71386 3.77075
8.32667e-05 478130 8.22512 3.04511
7.73564e-05 501930 8.58614 2.61387
8.096e-05 514512 8.27816 2.51607
8.55528e-05 559415 8.86045 2.90471
8.44817e-05 553738 9.34058 3.62801
8.55529e-05 524627 8.46673 2.68307
7.54643e-05 494235 8.17368 3.30608
8.14132e-05 520075 8.31674 3.50221
7.60783e-05 523923 8.11207 3.60367
6.5636e-05 576446 7.90971 3.03238
6.42412e-05 574124 7.7784 2.7195
6.86952e-05 584684 8.34702 3.35198
7.11493e-05 591651 8.53949 3.46944
6.7945e-05 537354 7.83815 2.90061
7.96934e-05 567770 8.29109 3.18647
6.81949e-05 609430 8.97662 3.40502
7.10373e-05 580269 8.71471 3.60889
7.64708e-05 533510 8.28185 3.23948
7.92015e-05 534650 8.28779 2.90666
8.4034e-05 559596 8.56351 3.36094
8.17642e-05 550880 8.67115 3.40608
7.27398e-05 563132 8.39 3.62718
6.57126e-05 598043 8.21627 3.24051
6.74317e-05 623252 8.59248 3.5446
6.25115e-05 611674 8.56078 3.37702
6.80936e-05 557966 7.92925 2.90673
6.89658e-05 558587 8.5746 3.40826
7.22791e-05 546104 8.38913 3.77566
7.67507e-05 547604 8.26957 3.02479
8.02243e-05 547264 8.07341 2.80146
7.08575e-05 551061 7.90199 2.71327
7.07788e-05 568746 8.34109 3.18923
7.17339e-05 579172 8.55465 3.13848
7.3879e-05 566798 8.31565 3.08411
7.45788e-05 569042 8.13453 3.01765
6.84972e-05 574589 7.97132 2.55287
6.58655e-05 591117 8.34351 2.99519
6.16292e-05 609750 8.7377 3.17836
6.83043e-05 602339 8.58143 3.29543
6.94635e-05 612606 8.7246 3.46285
7.1959e-05 620134 9.30587 4.02988
7.62499e-05 595644 8.17285 3.06619
5.89691e-05 604335 7.80604 2.86031
7.47762e-05 630011 8.5416 3.87615
7.29512e-05 639324 8.76684 3.76552
7.39409e-05 644495 8.7555 3.93438
6.56634e-05 692369 9.44456 4.27133
6.78669e-05 660350 9.44775 4.24141
6.75914e-05 687075 9.52843 4.29438
6.56198e-05 673703 9.24386 4.50228
6.22179e-05 687475 9.44776 4.66077
6.40038e-05 708452 9.90919 4.9192
5.9259e-05 711726 9.65547 4.65898
6.30786e-05 714671 8.98252 4.18677
5.38186e-05 719682 8.60787 3.4566
6.06271e-05 679375 7.61184 2.94008
5.46859e-05 695218 8.10591 3.45334
5.64515e-05 699789 8.22392 3.23761
5.45284e-05 672355 7.7306 2.82097
5.31788e-05 677362 7.38375 2.38034
5.1642e-05 681449 7.88523 2.83551
6.02655e-05 669558 7.98795 3.16602
5.25793e-05 685983 7.97582 3.20961
5.83781e-05 693042 8.48259 3.61352
5.88916e-05 675887 8.34621 3.76646
6.32669e-05 687467 8.70653 3.86004
5.84673e-05 674966 8.38152 3.681
5.67655e-05 676118 8.32772 3.91241
5.43253e-05 690593 8.45374 3.74775
4.91375e-05 694908 8.00084 3.48472
5.73656e-05 740681 8.58202 3.26193
5.38511e-05 745689 8.18926 3.35327
4.91245e-05 731033 7.93362 3.21345
5.13971e-05 737950 8.05076 3.1458
5.57736e-05 727401 7.94342 2.98307
5.55721e-05 751136 8.3132 3.34409
4.89759e-05 756585 8.12354 3.03673
5.30082e-05 734233 7.98054 3.24243
5.47431e-05 744563 8.4576 3.31807
5.54762e-05 754884 8.4959 3.1251
5.77482e-05 742704 8.42824 3.27039
5.30897e-05 756164 8.53607 3.39504
4.49747e-05 752106 8.23028 3.16095
5.06463e-05 758280 8.03979 2.69827
5.19416e-05 761380 8.38451 2.98782
4.9544e-05 778234 8.68631 4.09079
4.91181e-05 787307 8.94927 3.9505
5.46825e-05 785899 8.82673 3.85076
4.96946e-05 755899 8.48845 3.13821
5.42774e-05 762751 8.93526 3.36614
5.2148e-05 762735 8.4393 2.93114
5.21082e-05 751764 8.14342 2.93636
5.08097e-05 760045 8.32685 3.12085
5.29327e-05 753567 8.15534 2.98672
4.70233e-05 782558 8.61836 3.17923
4.7213e-05 786797 8.3279 2.75355
4.72003e-05 793069 8.36855 3.19221
4.70062e-05 793597 8.35725 3.35097
5.04722e-05 794383 8.65609 3.44027
5.16315e-05 757350 8.64079 3.35165
