SPM (Spatial Population Model)
Call: ..\..\Build\windows\spm -m -q -g 0 
Date: Wed Apr 22 15:15:32 2020
v2.0.2-2020-04-21 (rev. 2020-04-21 11:34:49 UTC). Copyright (c) 2008-2020, NIWA
User name: alist
Machine name: HP1040 (Windows_NT, PID=7088)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-09 -2.82829 6.40937e-06 3.33788e-06
-2.82829 5.83449e+09 -6405.03 -3098.06
6.40937e-06 -6405.03 0.211802 0.158556
3.33788e-06 -3098.06 0.158556 0.24515
Proposal distribution covariance matrix:
1e-06 -61.1071 0.000165705 8.62958e-05
-73.1213 5.83449e+09 -6405.03 -3098.06
0.000165705 -6405.03 0.211802 0.158556
8.62958e-05 -3098.06 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.0862958 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
44500 280.287 0 0 285.218 0.237775 0.233556 0.0478711
45000 279.515 0 0 383.172 0.237289 0.2296 0.0478711
45500 282.064 0 0 282.064 0.236703 0.225455 0.0478711
46000 281.077 0 0 295.275 0.236283 0.223167 0.0478711
46500 280.189 0 0 282.838 0.236065 0.222615 0.0478711
47000 286.46 0 0 288.649 0.236149 0.224143 0.0478711
47500 283.389 0 0 298.485 0.236379 0.2264 0.0478711
48000 280.067 0 0 287.147 0.235833 0.22375 0.0478711
48500 279.556 0 0 362.849 0.235588 0.223059 0.0478711
49000 279.759 0 0 302.499 0.235408 0.222778 0.0478711
49500 281.955 0 0 330.971 0.235818 0.225579 0.0478711
50000 283.576 0 0 284.977 0.23642 0.2291 0.0478711
50500 280.205 0 0 291.69 0.237267 0.322 0.045697
51000 280.56 0 0 280.56 0.237529 0.293 0.045697
51500 280.258 0 0 297.844 0.238272 0.3 0.045697
52000 280.822 0 0 280.822 0.238712 0.296 0.045697
52500 279.397 0 0 289.773 0.238819 0.2868 0.045697
53000 280.229 0 0 289.315 0.238962 0.281333 0.045697
53500 279.777 0 0 350.494 0.23843 0.267143 0.045697
54000 279.928 0 0 279.928 0.237926 0.25675 0.045697
54500 281.929 0 0 320.089 0.237229 0.246222 0.045697
55000 279.57 0 0 287.01 0.236836 0.241 0.045697
55500 280.012 0 0 281.621 0.23645 0.236727 0.045697
56000 279.857 0 0 285.113 0.235911 0.231667 0.045697
56500 282.354 0 0 315.234 0.235593 0.229231 0.045697
57000 282.059 0 0 286.347 0.235193 0.226429 0.045697
57500 281.639 0 0 282.335 0.234835 0.224267 0.045697
58000 281.414 0 0 300.426 0.233879 0.218 0.045697
58500 281.089 0 0 281.089 0.233265 0.214706 0.045697
59000 281.406 0 0 281.406 0.232932 0.213556 0.045697
59500 281.168 0 0 288.769 0.232521 0.212 0.045697
60000 281.035 0 0 390.416 0.2319 0.2093 0.045697
60500 281.504 0 0 281.504 0.231355 0.207238 0.045697
61000 282.41 0 0 302.577 0.230902 0.205818 0.045697
61500 282.83 0 0 282.83 0.230341 0.203913 0.045697
62000 280.828 0 0 280.828 0.229774 0.202083 0.045697
62500 285.228 0 0 285.228 0.2292 0.20032 0.045697
63000 280.034 0 0 283.53 0.228651 0.198769 0.045697
63500 281.449 0 0 289.966 0.228205 0.197778 0.045697
64000 280.193 0 0 280.193 0.227734 0.196714 0.045697
64500 283.593 0 0 297.975 0.227364 0.196138 0.045697
65000 282.967 0 0 415.399 0.226985 0.195533 0.045697
65500 284.458 0 0 313.641 0.226595 0.194903 0.045697
66000 280.553 0 0 297.177 0.226394 0.195062 0.045697
66500 279.891 0 0 309.881 0.226256 0.195455 0.045697
