[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000145277 310223 8.32585 2.93617
0.000120015 357437 8.75927 3.63607
0.000154734 307766 8.88214 3.63647
0.000200679 276691 8.97079 4.06322
0.000201742 245248 8.89361 3.86449
0.000190877 248242 8.3189 3.0407
0.000125136 317776 8.06243 3.06135
8.91191e-05 460624 8.36738 3.51061
8.55072e-05 454536 7.68086 3.17857
0.000139707 334447 8.10823 2.78373
0.000177995 282632 8.8472 3.08911
0.000124975 428290 9.37552 3.60412
0.00012802 325583 8.64457 2.87971
3.66712e-05 1.02707e+06 8.10242 2.78305
0.000137651 329662 8.51629 2.89618
0.000177297 302797 9.14704 3.65929
0.000145418 333472 8.93048 3.4302
0.000144076 364485 8.48629 2.60434
0.000103946 437326 8.75635 3.88729
0.000114919 386148 7.56424 3.00668
0.000124695 364574 8.8619 3.67369
0.000108393 382101 8.48932 3.72701
0.000138668 307079 8.32398 3.1589
0.000158846 286900 8.53297 3.20812
7.21675e-05 551838 7.83169 2.66279
0.000110837 371725 8.27514 3.0084
0.000143848 359855 8.72414 3.22542
3.58743e-05 1.18945e+06 8.19832 3.71392
3.0096e-05 1.28834e+06 8.53833 3.29564
3.28127e-05 1.29938e+06 8.82542 4.10655
0.000148855 302597 8.60228 3.19482
0.000112127 420163 8.95518 3.44465
0.000130214 337083 8.52485 3.10474
0.000124275 374901 8.8228 3.80464
4.32035e-05 967447 8.59527 3.34743
0.000122705 362143 8.51828 4.09234
0.000115953 384192 8.57023 2.69207
6.65007e-05 620343 9.10737 4.1103
0.000133924 362045 8.8371 3.06515
0.000106581 421796 8.65468 3.17858
0.000138612 367142 8.97357 3.63318
0.00019729 279984 8.42994 3.47288
0.000110602 392889 7.84312 3.15493
0.000135561 340362 8.71467 3.23722
0.000143815 337633 9.73764 4.94474
0.000107326 385912 9.22177 4.42568
5.99512e-05 691842 8.43869 3.23899
0.000129223 376163 8.51906 3.15096
6.44184e-05 584182 8.06184 3.48201
5.77175e-05 670185 8.15517 2.54232
0.000128868 325816 8.45095 3.31148
5.56051e-05 708923 8.54068 3.46996
2.9919e-05 1.16955e+06 8.247 3.07592
8.54326e-05 545917 8.67324 3.18912
0.000123145 317319 8.7368 3.47135
0.000168087 323344 9.13876 4.55103
0.000169021 309654 9.18533 3.1516
0.000166711 307989 8.41853 3.64081
0.000136813 335949 8.37708 3.28219
0.000136463 327171 8.28377 3.43394
0.000169877 296380 8.91251 3.65322
0.000155474 330980 8.40187 2.67229
