[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.000101241 0.000354306 3975.45 1742.3 71.1419 4.87911 0.00575466 4982.03 2683.26 9977.06 60.4551 27.7994 12.0311 6.05827 15.2674 11.5136 9.9719e+06
0.000101399 0.000178731 3996.73 1748.94 71.1153 4.82355 0.00558355 4986.18 2721.46 9978.2 60.4391 27.885 12.0297 6.03156 15.2337 11.5408 9.97082e+06
0.000101333 0.000130685 3969.5 1729.03 71.2129 4.86984 0.00548333 4980.28 2706.15 9977.37 60.4253 28.1294 12.0031 6.03268 15.2099 11.3527 9.97495e+06
0.000104649 0.000157981 3976.56 1732.29 71.2199 4.87603 0.00548134 4977.23 2733.87 9978.38 60.4145 28.1171 12.0028 6.0182 15.2024 11.4041 9.97367e+06
0.000103489 0.000120222 3972.69 1719.65 71.2451 4.91399 0.00555002 4976.63 2667.48 9976.69 60.3825 28.1982 12.0621 6.07584 15.2325 11.2842 9.97601e+06
0.000105391 0.000184938 3975.25 1720.12 71.2292 4.89287 0.00561701 4984.79 2709.82 9976.43 60.4095 28.1853 12.0744 6.03808 15.2441 11.2616 9.97674e+06
0.000105093 0.000262961 3914.12 1691.43 71.3257 5.04463 0.00571783 4998.55 2720.05 9975.03 60.304 28.1914 12.0599 5.98208 15.3292 11.1707 9.98131e+06
0.000103427 0.000186758 3980.84 1704.45 71.2692 5.02767 0.00565274 4985.92 2761.79 9976.18 60.2407 28.2104 12.0426 5.96347 15.3619 11.1449 9.98024e+06
0.000104745 0.000201615 3943.21 1681.52 71.2272 5.00099 0.00576114 4983.22 2747.12 9973.47 60.2484 28.2333 12.0579 5.9069 15.366 10.9916 9.98572e+06
0.000104143 0.000110966 3970.75 1682.46 71.2572 4.95797 0.00577942 4986.94 2751.94 9973.2 60.3872 28.2805 12.1076 5.96164 15.376 10.8992 9.98733e+06
0.00010636 0.00011014 3932.38 1696.24 71.0844 4.82286 0.00564766 4969.49 2785.54 9973.58 60.3723 28.1636 12.1251 5.98137 15.2726 11.156 9.98283e+06
0.00010449 0.000449464 3963.1 1704.85 71.09 4.67153 0.00598313 4985.95 2793.64 9975.51 60.4072 28.0904 12.179 6.03281 15.3989 11.3959 9.97883e+06
0.000103251 0.000475355 3979.73 1692.58 71.077 4.62006 0.00603787 4999.36 2737.05 9972.89 60.5239 28.1057 12.2048 6.0232 15.4229 11.1553 9.98355e+06
0.000104545 0.000342103 4007.17 1712.88 71.005 4.57211 0.00582538 4972.71 2784.83 9973.72 60.6102 28.0619 12.1978 6.01233 15.4247 11.3267 9.97888e+06
0.000109291 0.000312858 4018.79 1703.02 71.0314 4.66456 0.00599335 4966.41 2862.77 9973.62 60.5292 28.0078 12.2718 6.09527 15.3949 11.1018 9.9828e+06
0.000105796 0.000239128 3991.67 1692.06 71.0492 4.6869 0.00587953 4960.02 2889.75 9974.22 60.4483 28.0909 12.2932 6.09057 15.4172 11.1749 9.98385e+06
0.000109175 0.000222296 3975.36 1680.19 70.9135 4.63396 0.00591558 4976.69 2869.97 9972.23 60.3216 28.1416 12.2779 6.09024 15.3687 11.1512 9.98567e+06
0.000106482 0.000179797 3967.3 1661.26 70.8137 4.59384 0.00601671 4933.65 2854.83 9970.14 60.1962 28.0779 12.2943 6.06375 15.3643 10.9782 9.98989e+06
0.000106058 0.000132187 3869.91 1610.59 70.7685 4.59912 0.00597927 4951.78 2773.57 9965.15 60.1605 28.1118 12.2271 6.00339 15.3854 10.7585 9.99865e+06
0.000109284 0.000215286 3844.77 1614.55 70.8005 4.67147 0.00598089 4931.64 2758.89 9966.37 60.2386 28.2906 12.1886 5.96971 15.3036 10.8398 9.9958e+06
0.000105803 0.000177472 3858.85 1607.27 70.8333 4.91206 0.00608318 4974.66 2782.27 9965.02 60.2791 28.3076 12.1982 5.97247 15.3397 10.7312 9.99826e+06
0.000106896 0.000134447 3836.25 1598.73 70.8802 4.93468 0.00579378 4965.81 2827.84 9965.13 60.2779 28.3043 12.1682 5.9538 15.3219 10.8112 9.99758e+06
0.000103896 0.000108457 3848.84 1625.69 70.8701 4.9333 0.00570508 4966.22 2726.63 9966.87 60.3222 28.2364 12.1706 6.00467 15.2787 10.9763 9.99184e+06
0.000104475 0.000282943 3867.47 1638.06 70.9155 5.03199 0.00580191 4957.96 2696.82 9965.37 60.4402 28.9537 12.1443 6.04562 15.3037 11.0344 9.98809e+06
0.000103618 0.000242607 3866.32 1635.08 71.2264 5.22041 0.00574232 4964.02 2755.32 9967.65 60.4782 29.105 12.1662 6.08651 15.2731 10.9833 9.98812e+06
0.000105231 0.000246569 3871.92 1637.1 71.2014 5.12678 0.00583602 4981.18 2776.87 9967.62 60.4867 29.1098 12.1434 6.11635 15.1993 10.9497 9.98668e+06
0.000103711 0.00011433 3864.13 1624.29 71.188 5.22068 0.00586155 4986.91 2770.87 9965.72 60.4455 29.1418 12.1615 6.10065 15.1473 11.1967 9.98268e+06
0.000105271 0.000115544 3865.22 1619.38 71.2447 5.2626 0.00582904 4987.75 2702.23 9964.19 60.4192 29.1054 12.1507 6.15079 15.1696 11.0705 9.98427e+06
0.000108348 0.000117523 3826.91 1613.28 71.24 5.33585 0.00583542 4992.41 2751.64 9963.78 60.353 29.0745 12.1102 6.14725 15.1065 11.0705 9.98541e+06
0.000104794 0.000294618 3815.18 1623.14 71.268 5.41226 0.00601603 4996.66 2737.41 9965.3 60.2474 28.9763 12.0957 6.15771 15.0952 11.2081 9.98155e+06
0.000102701 0.000236872 3792.32 1598.77 71.2296 5.38702 0.00605754 4965.86 2689 9961.48 60.2293 28.9371 12.1018 6.18855 14.9918 10.9574 9.98639e+06
